card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
BLOODLETTING;FLAME_BARRIER;POMMEL_STRIKE,Bloodletting + Flame Barrier + Pommel Strike,30,18.6,409.2,28.0,0.468,119.4
BATTLE_TRANCE;BLOODLETTING;TRUE_GRIT,Battle Trance + Bloodletting + True Grit,30,18.6,411.3,30.1,0.477,117.4
BLOODLETTING;EXPECT_A_FIGHT;SHRUG_IT_OFF,Bloodletting + Expect A Fight + Shrug It Off,29,18.0,362.5,-18.7,0.543,115.4
POMMEL_STRIKE;SHRUG_IT_OFF;VICIOUS,Pommel Strike + Shrug It Off + Vicious,29,18.0,384.5,3.3,0.575,116.7
EXPECT_A_FIGHT;POMMEL_STRIKE;SHRUG_IT_OFF,Expect A Fight + Pommel Strike + Shrug It Off,28,17.4,378.9,-2.3,0.52,118.6
BLOODLETTING;FEEL_NO_PAIN;POMMEL_STRIKE,Bloodletting + Feel No Pain + Pommel Strike,28,17.4,383.9,2.7,0.545,117.0
COLOSSUS;POMMEL_STRIKE;TREMBLE,Colossus + Pommel Strike + Tremble,28,17.4,402.5,21.3,0.573,117.7
BLOODLETTING;COLOSSUS;TRUE_GRIT,Bloodletting + Colossus + True Grit,27,16.8,366.8,-14.4,0.594,115.9
BATTLE_TRANCE;BURNING_PACT;POMMEL_STRIKE,Battle Trance + Burning Pact + Pommel Strike,27,16.8,379.5,-1.7,0.442,114.9
BATTLE_TRANCE;HEADBUTT;POMMEL_STRIKE,Battle Trance + Headbutt + Pommel Strike,27,16.8,382.1,0.9,0.468,114.1
BLOODLETTING;COLOSSUS;UPPERCUT,Bloodletting + Colossus + Uppercut,27,16.8,383,1.8,0.563,116.8
DOMINATE;SHRUG_IT_OFF;TREMBLE,Dominate + Shrug It Off + Tremble,27,16.8,388.1,6.9,0.568,122.3
BLOODLETTING;DOMINATE;TREMBLE,Bloodletting + Dominate + Tremble,27,16.8,388.5,7.3,0.554,116.3
BLOODLETTING;SHRUG_IT_OFF;VICIOUS,Bloodletting + Shrug It Off + Vicious,27,16.8,388.6,7.4,0.6,118.0
BATTLE_TRANCE;POMMEL_STRIKE;TRUE_GRIT,Battle Trance + Pommel Strike + True Grit,27,16.8,389.7,8.5,0.504,115.9
COLOSSUS;POMMEL_STRIKE;UPPERCUT,Colossus + Pommel Strike + Uppercut,27,16.8,391.1,10.0,0.54,116.7
BLOODLETTING;HEADBUTT;UPPERCUT,Bloodletting + Headbutt + Uppercut,27,16.8,391.6,10.4,0.544,117.8
BATTLE_TRANCE;BLOODLETTING;DOMINATE,Battle Trance + Bloodletting + Dominate,27,16.8,392.2,11.0,0.498,115.8
BLOODLETTING;TRUE_GRIT;UPPERCUT,Bloodletting + True Grit + Uppercut,27,16.8,393.7,12.5,0.566,121.7
BURNING_PACT;POMMEL_STRIKE;TREMBLE,Burning Pact + Pommel Strike + Tremble,26,16.1,364.2,-17.0,0.518,119.5
BLOODLETTING;COLOSSUS;DOMINATE,Bloodletting + Colossus + Dominate,26,16.1,365.8,-15.4,0.543,115.0
DOMINATE;POMMEL_STRIKE;TREMBLE,Dominate + Pommel Strike + Tremble,26,16.1,380.0,-1.1,0.536,119
OFFERING;POMMEL_STRIKE;SHRUG_IT_OFF,Offering + Pommel Strike + Shrug It Off,26,16.1,383.8,2.7,0.521,114
BLOODLETTING;EXPECT_A_FIGHT;POMMEL_STRIKE,Bloodletting + Expect A Fight + Pommel Strike,26,16.1,386.1,4.9,0.479,118.8
