card_ids,cards,runs_with_package,pct_runs_with_package,avg_damage,damage_vs_all_wins,avg_final_hp_fraction,avg_turns
BLOOD_WALL;HEADBUTT;VICIOUS,Blood Wall + Headbutt + Vicious,14,8.7,402.4,21.2,0.567,115.4
BLOODLETTING;CASCADE;POMMEL_STRIKE,Bloodletting + Cascade X + Pommel Strike,14,8.7,402.9,21.7,0.387,114.1
POMMEL_STRIKE;PYRE;TRUE_GRIT,Pommel Strike + Pyre + True Grit,14,8.7,403.2,22.0,0.468,119.1
BREAKTHROUGH;POMMEL_STRIKE;SHRUG_IT_OFF,Breakthrough + Pommel Strike + Shrug It Off,14,8.7,403.4,22.2,0.394,110.4
RAGE;SHRUG_IT_OFF;TREMBLE,Rage + Shrug It Off + Tremble,14,8.7,403.4,22.2,0.502,129.1
DOMINATE;HEADBUTT;TREMBLE,Dominate + Headbutt + Tremble,14,8.7,403.7,22.5,0.504,122.6
HEADBUTT;INFERNO;POMMEL_STRIKE,Headbutt + Inferno + Pommel Strike,14,8.7,403.9,22.7,0.557,115.1
HEADBUTT;PILLAGE;SHRUG_IT_OFF,Headbutt + Pillage + Shrug It Off,14,8.7,404.8,23.6,0.459,112.6
BATTLE_TRANCE;PYRE;SHRUG_IT_OFF,Battle Trance + Pyre + Shrug It Off,14,8.7,405.4,24.2,0.467,116.5
BATTLE_TRANCE;EXPECT_A_FIGHT;POMMEL_STRIKE,Battle Trance + Expect A Fight + Pommel Strike,14,8.7,406.1,24.9,0.413,115.7
BLOODLETTING;FEEL_NO_PAIN;SECOND_WIND,Bloodletting + Feel No Pain + Second Wind,14,8.7,406.6,25.5,0.598,120.1
FORGOTTEN_RITUAL;POMMEL_STRIKE;TREMBLE,Forgotten Ritual + Pommel Strike + Tremble,14,8.7,406.8,25.6,0.557,119
ARMAMENTS;POMMEL_STRIKE;VICIOUS,Armaments + Pommel Strike + Vicious,14,8.7,407,25.8,0.61,117.3
BATTLE_TRANCE;MOLTEN_FIST;POMMEL_STRIKE,Battle Trance + Molten Fist + Pommel Strike,14,8.7,407.1,25.9,0.424,124.4
BLOOD_WALL;BURNING_PACT;TREMBLE,Blood Wall + Burning Pact + Tremble,14,8.7,407.9,26.7,0.525,122.3
ARMAMENTS;POMMEL_STRIKE;TAUNT,Armaments + Pommel Strike + Taunt,14,8.7,408.9,27.7,0.577,124.9
BLOODLETTING;BREAKTHROUGH;SHRUG_IT_OFF,Bloodletting + Breakthrough + Shrug It Off,14,8.7,410.6,29.5,0.412,115.1
EVIL_EYE;TREMBLE;UPPERCUT,Evil Eye + Tremble + Uppercut,14,8.7,410.6,29.5,0.553,122.4
BLOODLETTING;FIEND_FIRE;TREMBLE,Bloodletting + Fiend Fire + Tremble,14,8.7,410.6,29.4,0.523,123.4
POMMEL_STRIKE;PYRE;UPPERCUT,Pommel Strike + Pyre + Uppercut,14,8.7,413.1,32.0,0.472,125.4
BLOOD_WALL;TREMBLE;VICIOUS,Blood Wall + Tremble + Vicious,14,8.7,413.7,32.5,0.622,119.8
CRIMSON_MANTLE;HEADBUTT;POMMEL_STRIKE,Crimson Mantle + Headbutt + Pommel Strike,14,8.7,413.8,32.6,0.478,122.9
BLOODLETTING;HEADBUTT;MOLTEN_FIST,Bloodletting + Headbutt + Molten Fist,14,8.7,417.6,36.4,0.429,120
HEADBUTT;TREMBLE;VICIOUS,Headbutt + Tremble + Vicious,14,8.7,424.4,43.2,0.574,123.5
COLOSSUS;TREMBLE;VICIOUS,Colossus + Tremble + Vicious,14,8.7,432.6,51.4,0.603,122.8
BLOODLETTING;CRIMSON_MANTLE;TREMBLE,Bloodletting + Crimson Mantle + Tremble,14,8.7,433.3,52.1,0.391,121.7
BLOODLETTING;FLAME_BARRIER;HEADBUTT,Bloodletting + Flame Barrier + Headbutt,14,8.7,433.7,52.5,0.457,126.1
COLOSSUS;HEADBUTT;TREMBLE,Colossus + Headbutt + Tremble,14,8.7,442.9,61.7,0.492,122.3
POMMEL_STRIKE;SHRUG_IT_OFF;STONE_ARMOR,Pommel Strike + Shrug It Off + Stone Armor,13,8.1,332.9,-48.3,0.637,134
BLOODLETTING;IMPERVIOUS;SHRUG_IT_OFF,Bloodletting + Impervious + Shrug It Off,13,8.1,347.6,-33.6,0.639,115.1
ANGER;BURNING_PACT;POMMEL_STRIKE,Anger + Burning Pact + Pommel Strike,13,8.1,347.8,-33.3,0.556,110.6
BLOOD_WALL;BURNING_PACT;TAUNT,Blood Wall + Burning Pact + Taunt,13,8.1,349.8,-31.4,0.471,114.4
DOMINATE;POMMEL_STRIKE;STONE_ARMOR,Dominate + Pommel Strike + Stone Armor,13,8.1,353.2,-28.0,0.615,124.4
BLOODLETTING;BLOOD_WALL;THUNDERCLAP,Bloodletting + Blood Wall + Thunderclap,13,8.1,356.7,-24.5,0.582,101.8
BLOODLETTING;IMPERVIOUS;POMMEL_STRIKE,Bloodletting + Impervious + Pommel Strike,13,8.1,356.8,-24.4,0.58,113.2
BLOOD_WALL;POMMEL_STRIKE;THUNDERCLAP,Blood Wall + Pommel Strike + Thunderclap,13,8.1,359.3,-21.9,0.558,105.6
BATTLE_TRANCE;DOMINATE;FEEL_NO_PAIN,Battle Trance + Dominate + Feel No Pain,13,8.1,360.6,-20.6,0.597,116.7
ASHEN_STRIKE;BATTLE_TRANCE;TRUE_GRIT,Ashen Strike + Battle Trance + True Grit,13,8.1,361.3,-19.9,0.578,114.7
FEEL_NO_PAIN;SHRUG_IT_OFF;UPPERCUT,Feel No Pain + Shrug It Off + Uppercut,13,8.1,362.2,-19.0,0.606,129
DOMINATE;THUNDERCLAP;TREMBLE,Dominate + Thunderclap + Tremble,13,8.1,362.8,-18.4,0.632,114.8
COLOSSUS;HEADBUTT;TRUE_GRIT,Colossus + Headbutt + True Grit,13,8.1,363,-18.2,0.611,117.3
POMMEL_STRIKE;SHRUG_IT_OFF;UNRELENTING,Pommel Strike + Shrug It Off + Unrelenting,13,8.1,364,-17.2,0.553,118.6
COLOSSUS;DOMINATE;TRUE_GRIT,Colossus + Dominate + True Grit,13,8.1,364.2,-17.0,0.62,115.2
AGGRESSION;POMMEL_STRIKE;SHRUG_IT_OFF,Aggression + Pommel Strike + Shrug It Off,13,8.1,364.3,-16.9,0.525,111.8
DOMINATE;FEEL_NO_PAIN;FORGOTTEN_RITUAL,Dominate + Feel No Pain + Forgotten Ritual,13,8.1,365.3,-15.9,0.688,112
BLOODLETTING;BREAK;SHRUG_IT_OFF,Bloodletting + Break + Shrug It Off,13,8.1,365.3,-15.9,0.48,109.8
AGGRESSION;BLOODLETTING;POMMEL_STRIKE,Aggression + Bloodletting + Pommel Strike,13,8.1,365.8,-15.3,0.494,111.3
ANGER;FORGOTTEN_RITUAL;SHRUG_IT_OFF,Anger + Forgotten Ritual + Shrug It Off,13,8.1,365.8,-15.3,0.6,114.5
DOMINATE;TAUNT;VICIOUS,Dominate + Taunt + Vicious,13,8.1,366.2,-15.0,0.586,112.8
COLOSSUS;TAUNT;VICIOUS,Colossus + Taunt + Vicious,13,8.1,366.3,-14.9,0.579,117
ASHEN_STRIKE;EVIL_EYE;POMMEL_STRIKE,Ashen Strike + Evil Eye + Pommel Strike,13,8.1,366.5,-14.6,0.566,116.7
POMMEL_STRIKE;SHRUG_IT_OFF;STOMP,Pommel Strike + Shrug It Off + Stomp,13,8.1,366.6,-14.6,0.558,120.5
BLOODLETTING;BREAK;POMMEL_STRIKE,Bloodletting + Break + Pommel Strike,13,8.1,367.5,-13.7,0.475,116
ARMAMENTS;BLOODLETTING;EVIL_EYE,Armaments + Bloodletting + Evil Eye,13,8.1,367.7,-13.5,0.651,107.1
BATTLE_TRANCE;FEEL_NO_PAIN;POMMEL_STRIKE,Battle Trance + Feel No Pain + Pommel Strike,13,8.1,367.8,-13.4,0.579,115.9
BATTLE_TRANCE;FIEND_FIRE;POMMEL_STRIKE,Battle Trance + Fiend Fire + Pommel Strike,13,8.1,368.2,-13.0,0.481,119.7
ASHEN_STRIKE;POMMEL_STRIKE;TAUNT,Ashen Strike + Pommel Strike + Taunt,13,8.1,369,-12.2,0.6,109.8
BLOOD_WALL;HEADBUTT;TAUNT,Blood Wall + Headbutt + Taunt,13,8.1,370,-11.2,0.411,117.1
ARMAMENTS;FEEL_NO_PAIN;SHRUG_IT_OFF,Armaments + Feel No Pain + Shrug It Off,13,8.1,372.2,-9.0,0.545,127.4
BLOODLETTING;BURNING_PACT;CASCADE,Bloodletting + Burning Pact + Cascade X,13,8.1,373.2,-8.0,0.46,111.1
PERFECTED_STRIKE;SHRUG_IT_OFF;TAUNT,Perfected Strike + Shrug It Off + Taunt,13,8.1,374.1,-7.1,0.403,112.6
DOMINATE;OFFERING;TRUE_GRIT,Dominate + Offering + True Grit,13,8.1,374.5,-6.7,0.57,117.4
BLOODLETTING;DOMINATE;FIEND_FIRE,Bloodletting + Dominate + Fiend Fire,13,8.1,374.7,-6.5,0.519,116.5
BATTLE_TRANCE;EVIL_EYE;TREMBLE,Battle Trance + Evil Eye + Tremble,13,8.1,375,-6.2,0.571,117.2
FEEL_NO_PAIN;TRUE_GRIT;UPPERCUT,Feel No Pain + True Grit + Uppercut,13,8.1,377.4,-3.8,0.511,130.9
BLOODLETTING;POMMEL_STRIKE;UNRELENTING,Bloodletting + Pommel Strike + Unrelenting,13,8.1,377.8,-3.3,0.435,112.5
BLOOD_WALL;FIEND_FIRE;POMMEL_STRIKE,Blood Wall + Fiend Fire + Pommel Strike,13,8.1,378.2,-3.0,0.491,116.7
BLOODLETTING;SECOND_WIND;SHRUG_IT_OFF,Bloodletting + Second Wind + Shrug It Off,13,8.1,378.4,-2.8,0.742,119.7
DOMINATE;PERFECTED_STRIKE;POMMEL_STRIKE,Dominate + Perfected Strike + Pommel Strike,13,8.1,378.4,-2.8,0.461,110.3
BURNING_PACT;DOMINATE;TREMBLE,Burning Pact + Dominate + Tremble,13,8.1,380.5,-0.6,0.519,116.2
BLOODLETTING;HEADBUTT;THUNDERCLAP,Bloodletting + Headbutt + Thunderclap,13,8.1,380.9,-0.3,0.587,117.9
COLOSSUS;INFERNO;POMMEL_STRIKE,Colossus + Inferno + Pommel Strike,13,8.1,381.5,0.3,0.635,111.8
BLOODLETTING;HEADBUTT;RUPTURE,Bloodletting + Headbutt + Rupture,13,8.1,381.7,0.5,0.542,118.7
BATTLE_TRANCE;MOLTEN_FIST;SHRUG_IT_OFF,Battle Trance + Molten Fist + Shrug It Off,13,8.1,382.8,1.7,0.529,116.5
FIEND_FIRE;SHRUG_IT_OFF;TREMBLE,Fiend Fire + Shrug It Off + Tremble,13,8.1,382.9,1.7,0.589,128.4
ARMAMENTS;TRUE_GRIT;UPPERCUT,Armaments + True Grit + Uppercut,13,8.1,383,1.8,0.595,138.6
BATTLE_TRANCE;BURNING_PACT;TRUE_GRIT,Battle Trance + Burning Pact + True Grit,13,8.1,383.1,1.9,0.415,123.9
ARMAMENTS;BLOODLETTING;FIEND_FIRE,Armaments + Bloodletting + Fiend Fire,13,8.1,383.2,2.0,0.481,121.7
HEADBUTT;TAUNT;TRUE_GRIT,Headbutt + Taunt + True Grit,13,8.1,383.8,2.7,0.496,111.7
EXPECT_A_FIGHT;SHRUG_IT_OFF;TREMBLE,Expect A Fight + Shrug It Off + Tremble,13,8.1,383.8,2.6,0.527,120.5
FIEND_FIRE;SHRUG_IT_OFF;TRUE_GRIT,Fiend Fire + Shrug It Off + True Grit,13,8.1,383.9,2.7,0.545,124.2
ASHEN_STRIKE;BURNING_PACT;SHRUG_IT_OFF,Ashen Strike + Burning Pact + Shrug It Off,13,8.1,384.9,3.7,0.565,116.5
COLOSSUS;DOMINATE;VICIOUS,Colossus + Dominate + Vicious,13,8.1,385,3.8,0.532,114.7
BLOODLETTING;FIEND_FIRE;TRUE_GRIT,Bloodletting + Fiend Fire + True Grit,13,8.1,385.1,3.9,0.525,124.9
BLOODLETTING;OFFERING;TAUNT,Bloodletting + Offering + Taunt,13,8.1,385.3,4.1,0.533,117.1
BLOODLETTING;BLOOD_WALL;EVIL_EYE,Bloodletting + Blood Wall + Evil Eye,13,8.1,385.5,4.4,0.579,119.8
BLOODLETTING;CRUELTY;POMMEL_STRIKE,Bloodletting + Cruelty + Pommel Strike,13,8.1,385.9,4.7,0.376,117.3
BURNING_PACT;TREMBLE;TRUE_GRIT,Burning Pact + Tremble + True Grit,13,8.1,386.5,5.3,0.543,132.1
SHRUG_IT_OFF;STAMPEDE;TAUNT,Shrug It Off + Stampede + Taunt,13,8.1,386.8,5.7,0.476,115
BLOODLETTING;FIEND_FIRE;UPPERCUT,Bloodletting + Fiend Fire + Uppercut,13,8.1,386.8,5.7,0.551,122.6
DOMINATE;POMMEL_STRIKE;SECOND_WIND,Dominate + Pommel Strike + Second Wind,13,8.1,387.5,6.4,0.478,120.8
DOMINATE;FORGOTTEN_RITUAL;TREMBLE,Dominate + Forgotten Ritual + Tremble,13,8.1,387.8,6.6,0.625,114.9
BLOODLETTING;FEEL_NO_PAIN;OFFERING,Bloodletting + Feel No Pain + Offering,13,8.1,388.2,7.0,0.568,114.2
BLOODLETTING;FEEL_NO_PAIN;VICIOUS,Bloodletting + Feel No Pain + Vicious,13,8.1,388.2,7.0,0.577,117.5
IRON_WAVE;SHRUG_IT_OFF;TRUE_GRIT,Iron Wave + Shrug It Off + True Grit,13,8.1,388.5,7.3,0.492,114.6
HEADBUTT;POMMEL_STRIKE;RUPTURE,Headbutt + Pommel Strike + Rupture,13,8.1,389.5,8.3,0.538,118.2
BURNING_PACT;FORGOTTEN_RITUAL;TREMBLE,Burning Pact + Forgotten Ritual + Tremble,13,8.1,390.2,9.0,0.588,115.5
ANGER;BLOOD_WALL;TREMBLE,Anger + Blood Wall + Tremble,13,8.1,390.5,9.4,0.61,118.2
POMMEL_STRIKE;RUPTURE;SHRUG_IT_OFF,Pommel Strike + Rupture + Shrug It Off,13,8.1,390.9,9.7,0.535,111.8
BLOODLETTING;STAMPEDE;UPPERCUT,Bloodletting + Stampede + Uppercut,13,8.1,391.2,10.0,0.554,114.8
EVIL_EYE;FEEL_NO_PAIN;POMMEL_STRIKE,Evil Eye + Feel No Pain + Pommel Strike,13,8.1,392.8,11.6,0.552,121.5
FEEL_NO_PAIN;TREMBLE;UPPERCUT,Feel No Pain + Tremble + Uppercut,13,8.1,392.8,11.6,0.551,125.7
BATTLE_TRANCE;BLOOD_WALL;HEADBUTT,Battle Trance + Blood Wall + Headbutt,13,8.1,393.2,12.0,0.363,105.5
FLAME_BARRIER;SHRUG_IT_OFF;TAUNT,Flame Barrier + Shrug It Off + Taunt,13,8.1,394,12.8,0.56,131.4
BLOODLETTING;SHRUG_IT_OFF;TWIN_STRIKE,Bloodletting + Shrug It Off + Twin Strike,13,8.1,394.9,13.7,0.344,110.2
EVIL_EYE;OFFERING;POMMEL_STRIKE,Evil Eye + Offering + Pommel Strike,13,8.1,395.5,14.3,0.501,114.3
FIEND_FIRE;SHRUG_IT_OFF;UPPERCUT,Fiend Fire + Shrug It Off + Uppercut,13,8.1,395.5,14.4,0.533,120.8
CRIMSON_MANTLE;SHRUG_IT_OFF;TRUE_GRIT,Crimson Mantle + Shrug It Off + True Grit,13,8.1,395.7,14.5,0.546,121.1
DOMINATE;POMMEL_STRIKE;RAGE,Dominate + Pommel Strike + Rage,13,8.1,396.2,15.0,0.442,118.8
BLOODLETTING;EVIL_EYE;TRUE_GRIT,Bloodletting + Evil Eye + True Grit,13,8.1,396.5,15.3,0.664,120.5
BLOOD_WALL;FEEL_NO_PAIN;TREMBLE,Blood Wall + Feel No Pain + Tremble,13,8.1,397.1,15.9,0.484,125.2
BLOOD_WALL;COLOSSUS;TREMBLE,Blood Wall + Colossus + Tremble,13,8.1,397.2,16.0,0.608,121.8
BATTLE_TRANCE;CRUELTY;SHRUG_IT_OFF,Battle Trance + Cruelty + Shrug It Off,13,8.1,397.4,16.2,0.403,118.8
SHRUG_IT_OFF;THUNDERCLAP;TRUE_GRIT,Shrug It Off + Thunderclap + True Grit,13,8.1,397.6,16.4,0.489,116.9
POMMEL_STRIKE;RAGE;TREMBLE,Pommel Strike + Rage + Tremble,13,8.1,397.6,16.4,0.504,128.7
BLOOD_WALL;CRIMSON_MANTLE;POMMEL_STRIKE,Blood Wall + Crimson Mantle + Pommel Strike,13,8.1,397.7,16.5,0.428,115.2
HEADBUTT;TAUNT;VICIOUS,Headbutt + Taunt + Vicious,13,8.1,398.5,17.4,0.53,118.3
BLOODLETTING;MOLTEN_FIST;TRUE_GRIT,Bloodletting + Molten Fist + True Grit,13,8.1,398.5,17.3,0.517,115.2
SHRUG_IT_OFF;THUNDERCLAP;VICIOUS,Shrug It Off + Thunderclap + Vicious,13,8.1,398.6,17.4,0.52,115.8
BLOODLETTING;FORGOTTEN_RITUAL;UPPERCUT,Bloodletting + Forgotten Ritual + Uppercut,13,8.1,398.8,17.7,0.559,116.2
BURNING_PACT;OFFERING;SHRUG_IT_OFF,Burning Pact + Offering + Shrug It Off,13,8.1,399.2,18.0,0.506,120.4
ANGER;BLOODLETTING;TRUE_GRIT,Anger + Bloodletting + True Grit,13,8.1,399.5,18.4,0.592,117.5
ANGER;POMMEL_STRIKE;UPPERCUT,Anger + Pommel Strike + Uppercut,13,8.1,400,18.8,0.562,112.9
ANGER;HEADBUTT;POMMEL_STRIKE,Anger + Headbutt + Pommel Strike,13,8.1,400,18.8,0.505,118.3
BLOODLETTING;FIGHT_ME;POMMEL_STRIKE,Bloodletting + Fight Me + Pommel Strike,13,8.1,400.6,19.4,0.397,110.9
BATTLE_TRANCE;CRUELTY;POMMEL_STRIKE,Battle Trance + Cruelty + Pommel Strike,13,8.1,401,19.8,0.378,116.8
BLOODLETTING;RAGE;UPPERCUT,Bloodletting + Rage + Uppercut,13,8.1,401.6,20.4,0.469,119.7
EVIL_EYE;POMMEL_STRIKE;VICIOUS,Evil Eye + Pommel Strike + Vicious,13,8.1,401.7,20.5,0.58,113.8
ANGER;POMMEL_STRIKE;TRUE_GRIT,Anger + Pommel Strike + True Grit,13,8.1,401.8,20.6,0.519,118.5
BLOODLETTING;IRON_WAVE;SHRUG_IT_OFF,Bloodletting + Iron Wave + Shrug It Off,13,8.1,402.2,21.0,0.468,119.1
BLOODLETTING;BLOOD_WALL;FEEL_NO_PAIN,Bloodletting + Blood Wall + Feel No Pain,13,8.1,402.5,21.3,0.483,119.8
BLOODLETTING;RAGE;TREMBLE,Bloodletting + Rage + Tremble,13,8.1,402.7,21.5,0.512,118.5
BLOODLETTING;MAD_SCIENCE;SHRUG_IT_OFF,Bloodletting + Mad Science + Shrug It Off,13,8.1,403.1,21.9,0.541,112.1
POMMEL_STRIKE;SHRUG_IT_OFF;TWIN_STRIKE,Pommel Strike + Shrug It Off + Twin Strike,13,8.1,404.2,23.0,0.299,114.5
BLOODLETTING;DARK_EMBRACE;TRUE_GRIT,Bloodletting + Dark Embrace + True Grit,13,8.1,404.3,23.1,0.609,121.6
ARMAMENTS;SHRUG_IT_OFF;TAUNT,Armaments + Shrug It Off + Taunt,13,8.1,404.8,23.6,0.636,129.4
BLOOD_WALL;UPPERCUT;VICIOUS,Blood Wall + Uppercut + Vicious,13,8.1,405.7,24.5,0.527,116.9
BLOODLETTING;FORGOTTEN_RITUAL;HEADBUTT,Bloodletting + Forgotten Ritual + Headbutt,13,8.1,405.8,24.7,0.483,120.6
BLOODLETTING;RAGE;SHRUG_IT_OFF,Bloodletting + Rage + Shrug It Off,13,8.1,405.9,24.7,0.479,120.2
FORGOTTEN_RITUAL;SHRUG_IT_OFF;UPPERCUT,Forgotten Ritual + Shrug It Off + Uppercut,13,8.1,406.2,25.0,0.476,118.7
POMMEL_STRIKE;SECOND_WIND;TAUNT,Pommel Strike + Second Wind + Taunt,13,8.1,406.5,25.3,0.452,118.2
COLOSSUS;CRIMSON_MANTLE;POMMEL_STRIKE,Colossus + Crimson Mantle + Pommel Strike,13,8.1,406.6,25.4,0.471,115.8
BATTLE_TRANCE;HEADBUTT;TAUNT,Battle Trance + Headbutt + Taunt,13,8.1,406.7,25.5,0.423,114.2
HEADBUTT;PILLAGE;POMMEL_STRIKE,Headbutt + Pillage + Pommel Strike,13,8.1,407.1,25.9,0.455,110
POMMEL_STRIKE;SECOND_WIND;TRUE_GRIT,Pommel Strike + Second Wind + True Grit,13,8.1,409.9,28.7,0.559,128.1
BLOODLETTING;OFFERING;VICIOUS,Bloodletting + Offering + Vicious,13,8.1,410.7,29.5,0.501,108.4
HEADBUTT;PYRE;SHRUG_IT_OFF,Headbutt + Pyre + Shrug It Off,13,8.1,410.7,29.5,0.565,127.5
EVIL_EYE;HEADBUTT;POMMEL_STRIKE,Evil Eye + Headbutt + Pommel Strike,13,8.1,411.6,30.4,0.483,121.5
BATTLE_TRANCE;OFFERING;UPPERCUT,Battle Trance + Offering + Uppercut,13,8.1,412.5,31.3,0.45,119.7
PERFECTED_STRIKE;POMMEL_STRIKE;UPPERCUT,Perfected Strike + Pommel Strike + Uppercut,13,8.1,412.5,31.4,0.48,123.2
ARMAMENTS;BLOODLETTING;SECOND_WIND,Armaments + Bloodletting + Second Wind,13,8.1,412.8,31.6,0.544,116.1
MOLTEN_FIST;POMMEL_STRIKE;UPPERCUT,Molten Fist + Pommel Strike + Uppercut,13,8.1,413.7,32.5,0.374,119.4
BLOODLETTING;PYRE;TRUE_GRIT,Bloodletting + Pyre + True Grit,13,8.1,413.8,32.6,0.473,114.9
BLOODLETTING;BLOOD_WALL;CRIMSON_MANTLE,Bloodletting + Blood Wall + Crimson Mantle,13,8.1,416.2,35.0,0.455,116
BLOODLETTING;INFERNO;TREMBLE,Bloodletting + Inferno + Tremble,13,8.1,417.3,36.1,0.533,128.5
COLOSSUS;EVIL_EYE;POMMEL_STRIKE,Colossus + Evil Eye + Pommel Strike,13,8.1,420.2,39.0,0.575,117.3
TREMBLE;TRUE_GRIT;UPPERCUT,Tremble + True Grit + Uppercut,13,8.1,421.1,39.9,0.559,137
BLOODLETTING;SECOND_WIND;TAUNT,Bloodletting + Second Wind + Taunt,13,8.1,423.8,42.7,0.473,117.8
COLOSSUS;FLAME_BARRIER;POMMEL_STRIKE,Colossus + Flame Barrier + Pommel Strike,13,8.1,424.1,42.9,0.516,123
ARMAMENTS;BLOOD_WALL;POMMEL_STRIKE,Armaments + Blood Wall + Pommel Strike,13,8.1,425.8,44.6,0.516,115.5
BLOOD_WALL;TREMBLE;UPPERCUT,Blood Wall + Tremble + Uppercut,13,8.1,437.7,56.5,0.515,127.5
BLOODLETTING;MOLTEN_FIST;TREMBLE,Bloodletting + Molten Fist + Tremble,13,8.1,437.9,56.7,0.453,114.8
COLOSSUS;POMMEL_STRIKE;PYRE,Colossus + Pommel Strike + Pyre,13,8.1,441.8,60.7,0.47,124.8
FLAME_BARRIER;HEADBUTT;POMMEL_STRIKE,Flame Barrier + Headbutt + Pommel Strike,13,8.1,446.3,65.1,0.464,126.1
BLOOD_WALL;COLOSSUS;TRUE_GRIT,Blood Wall + Colossus + True Grit,12,7.5,339.2,-41.9,0.623,114.2
BURNING_PACT;FEEL_NO_PAIN;UPPERCUT,Burning Pact + Feel No Pain + Uppercut,12,7.5,340.9,-40.3,0.531,117.9
ANGER;DOMINATE;TREMBLE,Anger + Dominate + Tremble,12,7.5,341.1,-40.1,0.675,111.6
BLOODLETTING;COLOSSUS;IMPERVIOUS,Bloodletting + Colossus + Impervious,12,7.5,341.9,-39.3,0.595,111
COLOSSUS;TAUNT;TRUE_GRIT,Colossus + Taunt + True Grit,12,7.5,342.2,-39.0,0.614,115.4
ARMAMENTS;DOMINATE;FEEL_NO_PAIN,Armaments + Dominate + Feel No Pain,12,7.5,343.8,-37.4,0.54,112.7
BURNING_PACT;TAUNT;TREMBLE,Burning Pact + Taunt + Tremble,12,7.5,345.5,-35.7,0.588,121.2
BLOODLETTING;BURNING_PACT;EXPECT_A_FIGHT,Bloodletting + Burning Pact + Expect A Fight,12,7.5,347.2,-34.0,0.464,118.8
BLOOD_WALL;COLOSSUS;DOMINATE,Blood Wall + Colossus + Dominate,12,7.5,348.1,-33.1,0.536,112.4
BURNING_PACT;FORGOTTEN_RITUAL;TRUE_GRIT,Burning Pact + Forgotten Ritual + True Grit,12,7.5,349.8,-31.4,0.562,117.3
ANGER;COLOSSUS;SHRUG_IT_OFF,Anger + Colossus + Shrug It Off,12,7.5,349.8,-31.4,0.704,112.2
BLOODLETTING;DOMINATE;EXPECT_A_FIGHT,Bloodletting + Dominate + Expect A Fight,12,7.5,351,-30.2,0.524,114.7
COLOSSUS;DOMINATE;FEEL_NO_PAIN,Colossus + Dominate + Feel No Pain,12,7.5,352.8,-28.4,0.494,117.9
BLOODLETTING;CASCADE;SHRUG_IT_OFF,Bloodletting + Cascade X + Shrug It Off,12,7.5,353.2,-27.9,0.576,112.7
ARMAMENTS;SHRUG_IT_OFF;THUNDERCLAP,Armaments + Shrug It Off + Thunderclap,12,7.5,355.4,-25.8,0.623,117.5
BURNING_PACT;DOMINATE;FORGOTTEN_RITUAL,Burning Pact + Dominate + Forgotten Ritual,12,7.5,356.2,-25.0,0.614,112.2
ANGER;DOMINATE;POMMEL_STRIKE,Anger + Dominate + Pommel Strike,12,7.5,357.1,-24.1,0.631,112.3
COLOSSUS;IMPERVIOUS;POMMEL_STRIKE,Colossus + Impervious + Pommel Strike,12,7.5,357.4,-23.8,0.595,111.2
ANGER;FEEL_NO_PAIN;SHRUG_IT_OFF,Anger + Feel No Pain + Shrug It Off,12,7.5,357.4,-23.8,0.599,124.2
BURNING_PACT;OFFERING;POMMEL_STRIKE,Burning Pact + Offering + Pommel Strike,12,7.5,358.5,-22.7,0.448,119.8
IMPERVIOUS;POMMEL_STRIKE;SHRUG_IT_OFF,Impervious + Pommel Strike + Shrug It Off,12,7.5,358.6,-22.6,0.658,116.5
BLOODLETTING;EXPECT_A_FIGHT;TRUE_GRIT,Bloodletting + Expect A Fight + True Grit,12,7.5,358.6,-22.6,0.534,121.8
BLOODLETTING;POMMEL_STRIKE;STOMP,Bloodletting + Pommel Strike + Stomp,12,7.5,359.2,-22.0,0.547,105.8
BLOODLETTING;FEEL_NO_PAIN;FORGOTTEN_RITUAL,Bloodletting + Feel No Pain + Forgotten Ritual,12,7.5,359.8,-21.4,0.692,110.1
POMMEL_STRIKE;THRASH;TRUE_GRIT,Pommel Strike + Thrash + True Grit,12,7.5,361.2,-20.0,0.443,115.4
BURNING_PACT;FEEL_NO_PAIN;SECOND_WIND,Burning Pact + Feel No Pain + Second Wind,12,7.5,362.2,-19.0,0.589,117.9
BLOOD_WALL;SHRUG_IT_OFF;THUNDERCLAP,Blood Wall + Shrug It Off + Thunderclap,12,7.5,362.2,-18.9,0.581,104.7
DOMINATE;FIEND_FIRE;POMMEL_STRIKE,Dominate + Fiend Fire + Pommel Strike,12,7.5,362.3,-18.9,0.578,122.9
ANGER;FEEL_NO_PAIN;TREMBLE,Anger + Feel No Pain + Tremble,12,7.5,362.7,-18.5,0.609,121.6
BLOODLETTING;EXPECT_A_FIGHT;MOLTEN_FIST,Bloodletting + Expect A Fight + Molten Fist,12,7.5,362.7,-18.5,0.441,110.5
ANGER;BLOODLETTING;FORGOTTEN_RITUAL,Anger + Bloodletting + Forgotten Ritual,12,7.5,363,-18.2,0.675,110.8
BLOODLETTING;BLOOD_WALL;DRUM_OF_BATTLE,Bloodletting + Blood Wall + Drum Of Battle,12,7.5,364.2,-17.0,0.612,111.3
BURNING_PACT;TAUNT;UPPERCUT,Burning Pact + Taunt + Uppercut,12,7.5,364.8,-16.4,0.527,128.8
BLOODLETTING;EXPECT_A_FIGHT;UPPERCUT,Bloodletting + Expect A Fight + Uppercut,12,7.5,365.2,-15.9,0.5,121
