card_id,name,picked_count,runs_with_pick,pct_runs_with_pick,avg_pick_floor,median_pick_floor,earliest_pick_floor,latest_pick_floor,act1_picks,act2_picks,act3_picks,monster_picks,elite_picks,boss_picks,event_or_other_picks
SPECTRUM_SHIFT,Spectrum Shift,1,1,0.6,31,31,31,31,0,1,0,0,0,0,1
PREP_TIME,Prep Time,1,1,0.6,5,5,5,5,1,0,0,0,0,0,1
UNDEATH,Undeath,1,1,0.6,21,21,21,21,0,1,0,0,0,0,1
PUTREFY,Putrefy,1,1,0.6,21,21,21,21,0,1,0,0,0,0,1
NULL,Null,1,1,0.6,23,23,23,23,0,1,0,0,0,0,1
LEAP,Leap,1,1,0.6,23,23,23,23,0,1,0,0,0,0,1
STORM_OF_STEEL,Storm Of Steel,1,1,0.6,23,23,23,23,0,1,0,0,0,0,1
PREDATOR,Predator,1,1,0.6,23,23,23,23,0,1,0,0,0,0,1
TURBO,Turbo,1,1,0.6,22,22,22,22,0,1,0,0,0,0,1
GLACIER,Glacier,1,1,0.6,22,22,22,22,0,1,0,0,0,0,1
SUPERCRITICAL,Supercritical,1,1,0.6,22,22,22,22,0,1,0,0,0,0,1
AUTOMATION,Automation,1,1,0.6,5,5,5,5,1,0,0,0,0,0,1
WELL_LAID_PLANS,Well Laid Plans,1,1,0.6,28,28,28,28,0,1,0,0,0,0,1
NIGHTMARE,Nightmare,1,1,0.6,28,28,28,28,0,1,0,0,0,0,1
THINKING_AHEAD,Thinking Ahead,1,1,0.6,25,25,25,25,0,1,0,0,0,0,1
HELIX_DRILL,Helix Drill,1,1,0.6,23,23,23,23,0,1,0,0,0,0,1
CALL_OF_THE_VOID,Call Of The Void,1,1,0.6,28,28,28,28,0,1,0,0,0,0,1
SOW,Sow,1,1,0.6,28,28,28,28,0,1,0,0,0,0,1
